"MAXWATR_1","MAXWATR_2","FRACTEN","FRCHZNE","PERCRTE","PERCEXP","FRACLOWZ","BASERTE","QB_POWR","AXV_BEXP","LOGLAMB","TISHAPE","TIMEDELAY"
306.064,231.886,0.223,0.129,381.537,16.29,0.834,57.069,9.024,0.913,6.194,4.571,0.284
157.172,148.569,0.533,0.829,290.412,1.758,0.521,917.114,3.427,0.667,6.115,3.25,1.374
125.449,58.961,0.91,0.114,763.369,11.522,0.207,343.201,2.107,0.178,8.816,3.004,0.694
467.975,154.886,0.216,0.253,393.683,12.209,0.264,991.577,5.881,0.363,5.425,4.096,1.39
89.661,227.533,0.799,0.473,173.592,11.878,0.787,463.624,4.76,2.632,8.358,3.164,0.295
281.757,233.493,0.425,0.79,719.607,3.159,0.162,515.259,5.418,0.821,7.416,4.59,0.883
411.67,189.575,0.33,0.394,110.36,16.233,0.608,670.899,3.276,1.492,9.644,4.909,1.353
85.156,77.734,0.289,0.936,984.375,19.703,0.767,453.126,4.234,1.172,6.797,4.953,1.036
83.069,231.268,0.575,0.196,365.973,13.937,0.503,558.35,1.516,2.031,8.763,3.952,0.872
183.264,177.655,0.284,0.115,846.437,9.261,0.858,741.944,1.552,1.832,5.541,3.12,0.802
357.947,110.529,0.656,0.396,689.7,19.643,0.461,863.526,1.907,2.815,7.711,2.591,0.974
327.515,63.562,0.813,0.652,301.277,9.711,0.571,202.638,9.697,2.969,9.578,3.37,1.898
109.409,104.994,0.231,0.506,925.965,15.761,0.589,667.908,1.979,0.634,9.961,3.477,0.781
150.305,214.789,0.531,0.186,93.515,17.407,0.81,715.576,8.328,2.766,6.942,4.775,1.939
260.223,237.668,0.707,0.455,601.444,7.074,0.608,795.532,4.723,2.534,9.394,2.103,1.829
195.294,69.522,0.474,0.765,169.564,7.005,0.305,534.058,4.172,2.93,7.191,2.149,1.628
266.211,92.676,0.672,0.7,871.095,16.66,0.834,19.532,3.918,0.317,7.988,2.832,1.044
418.536,228.604,0.224,0.705,860.963,14.946,0.723,459.839,4.418,2.731,6.898,4.106,0.361
379.26,78.778,0.257,0.254,813.234,15.236,0.442,489.991,1.358,1.498,5.746,2.692,1.319
203.891,121.474,0.858,0.734,714.053,5.167,0.282,205.994,3.166,1.896,5.092,3.38,0.192
271.594,150.629,0.914,0.71,925.538,12.434,0.342,930.42,2.386,2.755,7.469,3.123,1.387
479.236,148.322,0.941,0.259,810.793,1.608,0.767,718.994,7.005,0.882,8.512,3.751,0.205
230.917,167.946,0.192,0.297,216.5,18.35,0.193,233.826,3.654,0.788,6.081,2.582,1.534
164.642,228.769,0.13,0.543,273.811,9.867,0.531,191.529,7.391,2.527,9.47,4.284,0.163
164.093,173.013,0.932,0.065,361.945,13.035,0.104,324.097,8.329,1.053,8.231,3.259,0.883
202.216,178.781,0.127,0.051,706.912,4.031,0.344,502.564,5.532,1.14,6.015,3.615,0.205
291.37,200.067,0.883,0.879,727.298,15.088,0.632,857.178,5.788,2.693,7.269,4.122,0.682
233.252,60.815,0.487,0.856,147.469,9.962,0.237,954.102,8.321,1.896,6.235,2.771,0.432
169.147,107.425,0.349,0.668,42.124,12.952,0.285,905.64,8.202,2.167,9.449,3.979,1.778
