"MAXWATR_1","MAXWATR_2","FRACTEN","PERCRTE","PERCEXP","BASERTE","QB_POWR","AXV_BEXP","LOGLAMB","TISHAPE","TIMEDELAY"
306.064,231.886,0.223,87.473,8.249,804.749,8.838,0.172,9.458,2.913,0.485
157.172,148.569,0.533,865.602,6.518,39.918,5.712,2.751,6.348,2.666,0.454
125.449,58.961,0.91,70.871,15.504,553.772,2.572,1.03,5.615,2.177,1.529
467.975,154.886,0.216,225.716,8.48,589.966,3.139,2.975,7.712,2.362,0.179
89.661,227.533,0.799,469.488,4.298,572.51,8.372,1.391,7.089,4.632,1.347
281.757,233.493,0.425,822.145,14.672,113.648,2.122,1.546,7.454,2.82,0.972
411.67,189.575,0.33,381.842,3.097,801.758,6.581,2.013,6.265,3.491,1.858
85.156,77.734,0.289,984.375,19.703,984.375,8.172,1.36,6.797,3.172,0.725
83.069,231.268,0.575,161.874,7.953,680.909,5.533,1.675,5.287,4.031,1.508
183.264,177.655,0.284,72.031,17.082,434.815,9.084,2.226,5.306,3.832,0.225
357.947,110.529,0.656,384.039,14.104,981.201,5.107,2.591,5.504,4.815,1.089
327.515,63.562,0.813,668.46,6.724,458.497,6.208,0.609,9.832,4.969,1.832
109.409,104.994,0.231,506.902,18.593,776.917,6.39,2.004,5.544,2.633,1.984
150.305,214.789,0.531,151.132,2.777,863.526,8.6,2.147,9.071,4.766,0.783
260.223,237.668,0.707,450.079,12.427,319.703,6.578,2.387,7.068,4.534,1.759
195.294,69.522,0.474,794.558,4.222,316.041,3.548,1.603,6.762,4.93,0.882
266.211,92.676,0.672,722.659,17.551,824.219,8.84,0.06,6.621,2.316,1.199
418.536,228.604,0.224,728.152,17.358,734.009,7.731,1.38,6.899,4.731,0.765
459.845,193.008,0.841,913.697,9.083,388.306,1.491,2.218,6.186,2.217,0.792
379.26,78.778,0.257,226.326,16.451,749.268,4.918,1.47,5.199,3.498,0.307
271.594,150.629,0.914,733.157,18.585,601.807,3.925,2.791,5.77,4.755,0.993
479.236,148.322,0.941,231.697,16.405,31.983,8.165,2.157,8.336,2.881,1.408
230.917,167.946,0.192,273.994,5.113,913.147,2.431,0.702,6.474,2.787,0.44
164.642,228.769,0.13,548.222,6.202,466.675,5.809,0.575,8.55,4.526,1.789
164.093,173.013,0.932,16.245,7.877,633.423,1.535,0.973,9.072,3.052,1.296
202.216,178.781,0.127,0.864,14.431,159.547,3.941,1.508,7.518,3.139,0.414
291.37,200.067,0.883,921.632,14.819,741.455,6.816,2.572,7.66,4.693,0.913
233.252,60.815,0.487,895.509,3.802,471.68,2.872,2.862,9.067,3.896,0.502
169.147,107.425,0.349,686.649,1.8,629.029,3.35,2.717,9.001,4.167,1.781
217.377,244.589,0.713,165.414,5.163,943.237,4.613,1.067,6.324,4.644,0.281
50.714,229.703,0.339,123.666,6.058,760.376,1.764,2.654,6.992,2.495,1.323
271.127,66.322,0.386,522.527,4.046,698.792,9.344,1.02,8.122,4.367,0.212
77.521,188.174,0.372,360.968,8.304,491.822,6.114,1.122,9.203,2.364,1.807
297.632,57.41,0.184,406.744,18.822,235.841,3.571,1.604,5.906,2.989,1.078
