"MAXWATR_1","MAXWATR_2","FRACTEN","FPRIMQB","RTFRAC1","PERCRTE","PERCEXP","PERCFRAC","QBRATE_2A","QBRATE_2B","AXV_BEXP","TIMEDELAY"
463.773,110.844,0.562,0.129,0.101,891.542,6.781,0.223,0.201,0.218,0.717,1.715
297.137,90.341,0.264,0.829,0.875,269.661,5.219,0.533,0.011,0.131,0.67,0.839
117.923,196.758,0.201,0.114,0.359,122.995,2.124,0.91,0.139,0.044,2.29,0.676
309.772,113.577,0.886,0.253,0.942,542.363,3.294,0.216,0.148,0.06,0.256,1.4
455.066,64.056,0.129,0.473,0.467,417.73,17.667,0.799,0.144,0.205,2.015,0.782
466.986,186.911,0.514,0.79,0.514,490.85,6.193,0.425,0.029,0.032,1.45,1.728
379.15,49.829,0.773,0.394,0.654,252.937,10.444,0.33,0.201,0.155,2.786,1.94
155.469,246.484,0.12,0.936,0.458,359.381,8.422,0.289,0.246,0.199,1.079,1.969
462.537,107.343,0.116,0.196,0.553,57.382,13.863,0.575,0.171,0.126,2.258,1.305
355.31,215.448,0.317,0.115,0.718,61.289,12.601,0.284,0.109,0.225,0.325,0.753
221.057,180.182,0.666,0.396,0.827,100.839,18.826,0.656,0.245,0.115,1.627,0.402
127.124,92.786,0.605,0.652,0.232,966.309,19.805,0.813,0.115,0.145,2.747,0.919
209.988,233.342,0.169,0.506,0.651,108.835,5.009,0.231,0.194,0.15,2.976,0.99
429.578,46.039,0.251,0.186,0.694,814.211,18.52,0.531,0.216,0.211,1.166,1.851
139.044,63.15,0.341,0.765,0.531,352.423,19.557,0.474,0.08,0.071,1.315,0.109
185.352,220.996,0.482,0.7,0.068,324.226,3.004,0.672,0.206,0.218,1.793,0.562
457.208,218.716,0.787,0.705,0.464,379.767,18.295,0.224,0.184,0.187,1.139,1.407
386.017,120.718,0.87,0.872,0.715,237.19,2.375,0.841,0.098,0.015,1.18,1.994
157.556,207.977,0.709,0.254,0.491,39.805,10.486,0.257,0.188,0.109,0.448,0.469
242.947,185.661,0.358,0.734,0.235,240.669,13.006,0.858,0.056,0.065,0.056,0.925
301.257,233.246,0.493,0.71,0.887,154.061,18.446,0.914,0.151,0.082,1.482,0.755
296.643,207.428,0.908,0.259,0.697,667.24,6.58,0.941,0.009,0.199,2.107,1.172
335.892,73.711,0.412,0.297,0.26,294.868,5.983,0.192,0.228,0.041,0.65,0.396
