"MAXWATR_1","MAXWATR_2","FRACTEN","FRCHZNE","RTFRAC1","PERCRTE","PERCEXP","FRACLOWZ","BASERTE","QB_POWR","AXV_BEXP","LOGLAMB","TISHAPE","TIMEDELAY"
306.064,231.886,0.223,0.129,0.393,804.75,17.547,0.101,891.541,3.738,0.717,9.285,2.413,1.249
157.172,148.569,0.533,0.829,0.311,39.927,10.948,0.875,269.654,2.998,0.67,7.083,4.056,1.724
125.449,58.961,0.91,0.114,0.737,553.776,4.318,0.359,122.987,1.532,2.29,6.673,3.031,1.24
467.975,154.886,0.216,0.253,0.404,589.97,5.516,0.942,542.359,2.087,0.256,8.493,4.08,1.19
89.661,227.533,0.799,0.473,0.206,572.514,16.563,0.467,417.725,8.895,2.015,6.94,2.43,0.281
281.757,233.493,0.425,0.79,0.698,113.656,3.368,0.514,490.845,3.46,1.45,9.317,3.316,0.613
411.67,189.575,0.33,0.394,0.149,801.76,12.782,0.654,252.93,5.474,2.786,9.849,4.024,0.195
83.069,231.268,0.575,0.196,0.379,680.911,10.57,0.553,57.374,7.093,2.258,8.253,3.3,1.227
183.264,177.655,0.284,0.115,0.812,434.82,18.066,0.718,61.28,6.495,0.325,6.866,3.195,1.173
357.947,110.529,0.656,0.396,0.671,981.201,9.67,0.827,100.831,9.444,1.627,5.985,3.454,0.676
327.515,63.562,0.813,0.652,0.321,458.502,11.994,0.232,966.309,9.908,2.747,7.283,4.846,1.822
109.409,104.994,0.231,0.506,0.883,776.919,12.38,0.651,108.827,2.899,2.976,7.461,3.162,1.345
150.305,214.789,0.531,0.186,0.134,863.527,17.045,0.694,814.209,9.299,1.166,9.625,4.908,0.487
260.223,237.668,0.707,0.455,0.591,319.709,12.775,0.766,413.697,8.601,2.636,5.172,4.743,1.035
195.294,69.522,0.474,0.765,0.203,316.047,6.379,0.531,352.418,9.79,1.315,5.248,4.439,0.355
266.211,92.676,0.672,0.7,0.834,824.221,17.551,0.068,324.219,1.949,1.793,6.387,3.559,1.837
418.536,228.604,0.224,0.705,0.825,734.011,15.211,0.464,379.761,9.193,1.139,8.51,2.528,0.13
459.845,193.008,0.841,0.872,0.433,388.312,2.037,0.715,237.183,1.651,1.18,9.985,2.101,1.44
379.26,78.778,0.257,0.254,0.782,749.27,9.271,0.491,39.796,5.493,0.448,6.154,3.974,0.671
203.891,121.474,0.858,0.734,0.693,219.307,5.904,0.235,240.662,6.687,0.056,7.3,2.274,0.317
271.594,150.629,0.914,0.71,0.883,601.811,7.174,0.887,154.054,9.264,1.482,6.871,4.076,0.588
479.236,148.322,0.941,0.259,0.78,31.992,16.127,0.697,667.237,3.643,2.107,7.919,2.294,1.244
230.917,167.946,0.192,0.297,0.245,913.148,4.021,0.26,294.862,3.36,0.65,5.97,4.297,1.893
164.642,228.769,0.13,0.543,0.296,466.68,11.152,0.222,710.083,8.579,2.682,8.807,2.23,1.967
164.093,173.013,0.932,0.065,0.376,633.427,2.13,0.342,814.331,4.156,1.939,7.099,3.317,0.664
202.216,178.781,0.127,0.051,0.686,159.554,7.209,0.502,503.541,4.418,0.61,7.691,2.293,1.525
291.37,200.067,0.883,0.879,0.705,741.458,13.279,0.821,531.983,9.079,1.362,8.536,3.013,0.314
233.252,60.815,0.487,0.856,0.183,471.685,4.952,0.909,813.477,6.687,0.742,6.284,2.636,1.893
169.147,107.425,0.349,0.668,0.088,629.032,5.961,0.865,800.171,7.501,2.669,8.298,4.666,1.703
217.377,244.589,0.713,0.199,0.247,943.238,8.628,0.37,264.771,8.931,0.409,7.674,2.957,1.049
50.714,229.703,0.339,0.161,0.29,760.378,2.612,0.846,398.316,2.486,1.98,6.874,4.037,1.29
271.127,66.322,0.386,0.52,0.194,698.795,18.614,0.356,624.451,8.102,0.305,5.821,3.677,0.692
77.521,188.174,0.372,0.375,0.396,491.826,11.797,0.387,840.698,2.091,2.709,6.127,2.552,1.389
297.632,57.41,0.184,0.416,0.894,235.847,6.427,0.531,181.153,3.966,1.61,5.74,3.709,0.198
321.088,147.031,0.752,0.35,0.701,17.466,14.64,0.795,526.49,9.318,1.1,9.49,4.891,1.384
241.025,81.593,0.452,0.842,0.08,261.787,18.215,0.253,36.073,5.813,1.619,7.781,4.206,1.273
52.06,49.513,0.872,0.155,0.532,994.202,9.643,0.437,756.775,3.756,1.133,5.623,4.423,0.507
150.085,200.836,0.941,0.759,0.383,611.088,19.411,0.25,886.963,2.597,0.529,5.238,3.955,1.817
454.242,91.44,0.832,0.411,0.329,293.83,8.35,0.366,765.747,5.846,1.15,5.384,2.427,0.674
436.115,198.721,0.836,0.839,0.382,757.449,12.687,0.429,793.823,7.575,2.943,5.112,4.755,0.923
246.82,230.307,0.67,0.713,0.322,692.264,15.327,0.752,929.81,4.229,1.408,5.735,3.153,1.374
458.994,35.89,0.072,0.772,0.291,183.663,17.325,0.379,20.448,8.766,0.822,8.797,4.347,1.428
192.905,91.371,0.764,0.199,0.407,587.468,11.972,0.874,618.592,4.006,0.756,8.018,2.547,1.839
246.271,216.299,0.934,0.487,0.508,616.825,14.172,0.949,965.698,9.966,1.584,8.002,2.177,1.638
405.573,62.161,0.144,0.385,0.188,564.58,16.24,0.459,157.594,8.116,1.937,9.167,4.32,0.385
341.907,185.785,0.886,0.569,0.405,508.062,3.018,0.466,685.303,3.358,1.014,6.403,2.483,1.272
177.304,120.045,0.257,0.541,0.507,997.131,11.406,0.786,972.595,4.046,1.651,9.358,2.135,1.104
